"depth","Abies (Fir)","Picea (Spruce)","Alnus (Alder)","Betula (Birch)","Carya (Hickory)","Castanea dentata (Chestnut)","Fagus grandifolia (Beech)","Fraxinus (Ash)","Ostrya/Carpinus","Pinus (Pine)","Quercus (Oak)","Tsuga canadensis (Hemlock)","Gramineae (Grasses)","Asteraceae (Ragweed etc.)","Cyperaceae (Sedge)"
485,0,0,5.13,3.99,4.84,2.28,3.42,2.28,3.42,3.99,59.83,2.28,0,0.85,0
490,0,0,5.08,3.17,2.86,1.27,1.59,0.95,5.4,1.9,72.7,1.59,0,0.95,0
495,0,0,6.85,1.56,4.05,1.56,3.43,2.8,4.05,3.43,66.04,2.8,0,0.62,0
500,0,0,4.24,5.76,6.97,0.61,2.12,1.52,0.3,3.64,60,1.82,3,1.82,0
505,0,0,5.6,4.42,3.24,1.47,3.83,2.65,2.95,3.54,66.67,1.18,0.3,1.47,0
510,0,0,6.82,1.14,1.99,0.57,2.27,5.4,5.68,3.98,62.78,2.27,0,0.85,0
515,0,0,7.3,3.49,3.17,0.95,2.86,3.17,2.86,3.17,66.67,1.27,0.6,1.27,0
520,0,0,5.57,1.47,4.99,1.47,3.52,3.81,5.57,4.4,60.7,4.11,0.3,0.29,0
525,0,0,5.78,3.65,3.95,1.22,2.13,1.82,2.13,5.78,63.83,4.56,0,0,0
530,0,0,7.19,2.81,2.81,1.56,2.5,3.44,3.75,2.81,66.88,1.88,0,0.94,0
535,0,0,3.62,0.84,4.18,0.28,3.34,2.23,1.39,5.57,65.46,8.64,0,1.11,0
540,0,0,2.75,5.5,4.89,1.83,2.75,2.14,0.92,1.83,56.27,3.98,0,1.83,0
545,0,0,3.59,2.4,2.99,1.2,3.59,3.89,1.8,3.59,65.87,5.99,0,0.3,0
550,0,0,3.63,0,4.53,0.3,5.74,1.81,4.83,0,68.28,3.93,0,1.21,0
555,0,0,5.77,2.56,1.6,1.92,6.09,2.88,1.92,2.88,60.58,4.17,0.9,1.28,0
560,0,0,4.96,1.17,5.54,0.87,4.96,2.04,2.04,3.79,60.06,4.37,0.9,2.04,0
565,0,0,5.14,1.29,3.22,0.32,2.57,3.86,3.54,2.57,66.24,6.75,0,0.32,0
570,0,0,4.1,2.73,4.78,0.23,1.82,1.37,1.14,1.59,65.15,5.92,0,0.91,0
575,0,0,6.37,1.27,2.55,0.64,7.96,3.18,2.55,2.55,63.69,4.14,0.2,0.96,0
580,0,0,3.42,2.48,3.42,0.62,8.07,2.8,2.17,2.48,61.18,4.66,0,0.93,0
585,0,0,2.67,2.33,2.33,0.33,5.33,2.67,3,4,64.67,6,0,0.33,0
590,0,0,2.22,0,2.22,0.32,6.33,4.11,1.9,0,69.3,3.8,0.9,0,0
595,0,0,1.69,2.81,3.37,1.4,4.49,1.69,2.81,2.25,69.1,6.46,0,0.28,0
